label,floor_x_m,floor_y_m,depth_m,confidence
chair,1.5867363030354495,1.4737016203395505,1.4737016203395505,0.641211986541748
chair,-11.588230364443874,6.56048980653554,13.315946783782367,0.6316580176353455
chair,4.718165688616136,2.4319665572293054,4.46522766402283,0.5382739901542664
table,-1.7530118908498211,1.6242757130995509,2.3302906871619142,0.41207170486450195
table,0.034649260749004096,3.6997147238442736,3.186722307229968,0.40521031618118286
chair,0.37072023716732244,-0.46590711634605064,0.5540067012569188,0.3967226445674896
chair,-1.036057583616514,-1.1297819781260692,1.462143176258456,0.29961448907852173
chair,-0.1132949171743548,-1.267997626814919,1.0414706981729227,0.29534581303596497
chair,8.105358911867528,-0.6813339631453819,8.105358911867528,0.292270690202713
chair,1.2499270691641935,9.690938766669408,7.767635623873048,0.2849217653274536
chair,-0.010585773196995496,-2.083820659089129,1.8099345143005159,0.28101781010627747
chair,0.09704529477472175,0.5107486437615155,0.5107486437615155,0.2784208059310913
chair,0.4197536869557281,3.9860498238734268,3.2421435647470114,0.27237996459007263
chair,-7.016201171875001,-7.170125191267428,7.170125191267429,0.2695201337337494
table,3.069816847125303,3.6198690286010318,3.6198690286010318,0.25339439511299133
